,tweet_id,text,favorite_count,retweet_count,created_at
56,1317244019471155201,RT @jjcharlesworth_: There was never any lockdown. There was just middle-class people hiding while working-class people brought them things.,0,33694,Fri Oct 16 23:20:22 +0000 2020
57,1317244019261526017,"RT @spigaro: Μάρτιος : 20 κρούσματα/μέρα, μη φοράτε μάσκα, καθολικό lockdown
Ιούλιος : Μπάτε σκύλοι αλέστε
Οκτώβριος : 500 κρούσματα/μέρα,…",0,115,Fri Oct 16 23:20:22 +0000 2020
58,1317244014794575872,RT @TheDuck90: Level 5 restrictions should not be acceptable and represent a failure of government. Why hasn't ICU and health care capacity…,0,32,Fri Oct 16 23:20:20 +0000 2020
59,1317244013020401664,"RT @EuroMasochismo: Dipendente in Regione: ma perché non si sbrigano a fare il lockdown?

(Storia vera. Non tifo conflitti sezionali, ma ce…",0,89,Fri Oct 16 23:20:20 +0000 2020
60,1317244011703373824,"RT @CllrBSilvester: To base #Lockdown on number of positive tests per 100,000 population is insane.
1) 93% of the tests are false positive.…",0,9,Fri Oct 16 23:20:20 +0000 2020
61,1317244010554163202,RT @DONJAZZY: Ehen by the way I used the lockdown to learn Forex trading and it’s been beautiful. After we  #EndSARS finish and enter #NewN…,0,3922,Fri Oct 16 23:20:19 +0000 2020
62,1317244009123926018,Swedish Health Chief Said Country Avoided Lockdown to Prevent “Pandemic Fatigue” – Summit News - https://t.co/vq996sbqIC,1,0,Fri Oct 16 23:20:19 +0000 2020
63,1317244007030947840,RT @TheBabaIbeji: Ikorodu road on total lockdown at this point even Aladdin can’t pass thru’ 😂 #EndSARS,0,858,Fri Oct 16 23:20:19 +0000 2020
64,1317244005072207873,"RT @victorfyt: #LaCuarentenaSirve para ser el 5º país con más contagios en el mundo y tener 1 millón de infectados y 25.000 muertos, despué…",0,236,Fri Oct 16 23:20:18 +0000 2020
65,1317244001267847169,RT @_StephAnderson: This Hughesdale hair salon has opened in defiance of the lockdown rules. Police were ready and waiting - along with a s…,0,2,Fri Oct 16 23:20:17 +0000 2020
66,1317244000265367552,RT @3rdCoastBooks: Read all about it! 3rd Coast Books is this week's @ibpa Member Spotlight. @ronmumford discussing 13 Y/O #author @afoxaut…,0,8,Fri Oct 16 23:20:17 +0000 2020
67,1317243999799906305,"RT @victorfyt: #LaCuarentenaSirve para ser el 5º país con más contagios en el mundo y tener 1 millón de infectados y 25.000 muertos, despué…",0,236,Fri Oct 16 23:20:17 +0000 2020
68,1317243994888425473,@lzrbtw @scird7 @nautiousfn @laysbtw ohh Shit there is my meat ball slash head from start of lockdown,0,0,Fri Oct 16 23:20:16 +0000 2020
69,1317243994481504257,@LianneFallon4 @AndyBurnhamGM We havent had a true 4 week lockdown to date.  Hell we can't get people to mask it.… https://t.co/2CYTBK5iQa,0,0,Fri Oct 16 23:20:16 +0000 2020
70,1317243991977582593,RT @witchyqueer: not-so-gentle reminder that all the “sacrifices” you made during lockdown are things that disabled and chronically ill peo…,0,1298,Fri Oct 16 23:20:15 +0000 2020
71,1317243979239366656,The only bitches excited about tourism opening is dumbass tourist like this &amp; anyone who wants to make a quick buck… https://t.co/Jg3Oh8Pr6t,1,0,Fri Oct 16 23:20:12 +0000 2020
72,1317243976995508224,"RT @spotify_barmy: O comeback está batendo em nossa porta.

Precisamos começar a nos preparar, a nos organizar para que esse comeback seja…",0,63,Fri Oct 16 23:20:11 +0000 2020
73,1317243973539368961,Just trying to go home before the country go on lockdown 😭,0,0,Fri Oct 16 23:20:11 +0000 2020
74,1317243971790381056,RT @LiamPRyan91: Weekend @IrishTimes front page... 75 reasons to be cheerful... a 107th birthday party... and  maybe a level 5 lockdown too…,0,3,Fri Oct 16 23:20:10 +0000 2020
75,1317243971337396224,RT @PaulaBrexiteer: The reason Lockdown won’t work is because too many people won’t do it. Some won’t because they lost the Brexit vote &amp; w…,0,192,Fri Oct 16 23:20:10 +0000 2020
76,1317243968854183937,"RT @mariamaraki09: Stop thanking DA and his lockdown! He got us in this mess in the first place. 
It's like if I lost the worksheets I prin…",0,1,Fri Oct 16 23:20:10 +0000 2020
77,1317243967516258311,RT @witchyqueer: not-so-gentle reminder that all the “sacrifices” you made during lockdown are things that disabled and chronically ill peo…,0,1298,Fri Oct 16 23:20:09 +0000 2020
78,1317243966715252736,"RT @HousingITguy: Covid19 looks to not be dampening down,any time soon. How will #SocialHousing ever chew through the non-Emergency repairs…",0,1,Fri Oct 16 23:20:09 +0000 2020
79,1317243959920316416,"RT @Ro_Smith: Daniel Andrews said yesterday, correctly, that we ""haven't listened to the loudest voices, haven't lost our nerve"". Lockdown…",0,111,Fri Oct 16 23:20:07 +0000 2020
80,1317243956439273473,"@WahnSager @Dorni @SHomburg Danke für das Video, ist interessant.
Überraschend fand ich dass sie erst nach 4 Wochen… https://t.co/yjV4mH2Hr0",0,0,Fri Oct 16 23:20:07 +0000 2020
81,1317243951313813510,Boris wants to ‘intervene’ when in forcing lockdown measures in Manchester yet your party haven’t helped the city o… https://t.co/VOEqS56fuk,0,0,Fri Oct 16 23:20:05 +0000 2020
82,1317243951187775488,"RT @SWAtlasHoover: Famous public health ""experts"" testing &amp; isolating asymptomatics, limiting in-person school, restricting businesses... T…",0,1948,Fri Oct 16 23:20:05 +0000 2020
83,1317243950206341120,"RT @Ro_Smith: Daniel Andrews said yesterday, correctly, that we ""haven't listened to the loudest voices, haven't lost our nerve"". Lockdown…",0,111,Fri Oct 16 23:20:05 +0000 2020
84,1317243945869578240,RT @CracksWynonna: Vote for lockdown couture. #PCAs #WynonnaEarp #TheScifiFantasyShow https://t.co/YmDFXfRsys,0,59,Fri Oct 16 23:20:04 +0000 2020
85,1317243944372232199,"RT @melissaztweets: Failed to impose the March Lockdown quick enough.
Failed to make a 'world beating' Track and Trace.
Opened up from Lock…",0,123,Fri Oct 16 23:20:04 +0000 2020
86,1317243944074244096,"Ultima soluție a lui Macron pentru evitarea unui nou lockdown. La 30.000 de cazuri pe zi, Franța testează o măsură… https://t.co/XsoMBfC2iR",0,0,Fri Oct 16 23:20:04 +0000 2020
87,1317243943369777152,RT @alexisccardiel: I really hope they put us on lockdown again,0,98,Fri Oct 16 23:20:03 +0000 2020
88,1317243936302276609,"RT @Ro_Smith: Daniel Andrews said yesterday, correctly, that we ""haven't listened to the loudest voices, haven't lost our nerve"". Lockdown…",0,111,Fri Oct 16 23:20:02 +0000 2020
89,1317243932946829313,RT @LynleySusanna: Michael Rowland.Those supporting Andrews r doing so 2 save lives. I suggest having a look at the organised campaign to d…,0,101,Fri Oct 16 23:20:01 +0000 2020
90,1317243930694406145,"#KrugerCrew2020
#BetterTogether 
@StMichaelAngels
We aced the lockdown! https://t.co/LrlSO9iEKo",0,0,Fri Oct 16 23:20:00 +0000 2020
91,1317243924835147776,"@fvguima @Bullshico Nao tem como ficar em lockdown eterno...olha a Argentina. Se casos estão aumentando, mas óbitos não oteeemo",0,0,Fri Oct 16 23:19:59 +0000 2020
92,1317243915569946625,RT @bluemoonblue00: Quando Signorini ha detto che Stefania era salva ho emanato un urlo incredibile da far affacciare i vicini che non usci…,0,11,Fri Oct 16 23:19:57 +0000 2020
93,1317243913170612225,"@TheAshes1011 @Morgan74213373 @VicGovDHHS I know it's hard on the closed businesses, being in lockdown but this vir… https://t.co/dwoaGY38XE",0,0,Fri Oct 16 23:19:56 +0000 2020
94,1317243911241256964,"RT @pbhushan1: As our GDP fell by 24%, our billionaires reported a rise in their combined net worth by more than a third during the first f…",0,1158,Fri Oct 16 23:19:56 +0000 2020
95,1317243910335434754,RT @PremiumTimesng: #EndSARS: Abuja lockdown protest in pictures https://t.co/PVeoU3gEge,0,29,Fri Oct 16 23:19:56 +0000 2020
96,1317243907764150272,"RT @Ro_Smith: Daniel Andrews said yesterday, correctly, that we ""haven't listened to the loudest voices, haven't lost our nerve"". Lockdown…",0,111,Fri Oct 16 23:19:55 +0000 2020
97,1317243903926505473,"RT @demi_jaynexx: We’re on the absolute brink of being put back on a full lockdown- it’s almost winter, freezing cold, gets dark early, gym…",0,3743,Fri Oct 16 23:19:54 +0000 2020
98,1317243896389341185,"RT @womenshistory: “When everybody was in a lockdown, asking, begging people to stay home, domestic workers were out there going out to sav…",0,3,Fri Oct 16 23:19:52 +0000 2020
99,1317243890563309570,RT @caznye: @GregHuntMP @TimWilsonMP Best you keep your nose out of it like you have for this whole lockdown - you have no idea of what you…,0,3,Fri Oct 16 23:19:51 +0000 2020
100,1317243885454753796,"RT @LondonLass9: What does it take for a city or towns council to agree to a lockdown
🤑🤑🤑🤑🤑🤑🤑🤑🤑
Of course https://t.co/SN4KPlJn2Y",0,6,Fri Oct 16 23:19:50 +0000 2020
